,temperature_mean_K,temperature_std_K,volume_mean_nm3,volume_std_nm3,density_mean_g_ml,density_std_g_ml,cwld_rms_over_base_mean,cwld_rms_over_base_max,cwld_max_over_base_mean,cwld_max_over_base_max,force_norm_warning_count,mean_rmsd_nm,mean_protein_rmsf_nm,ca_water_peak_r_nm,ca_water_peak_g,ca_water_coord_0p30_nm,ca_protein_o_coord_0p30_nm,ca_total_o_coord_0p30_nm,ca_water_coord_0p28_nm,ca_water_coord_0p32_nm,ca_water_coord_0p35_nm,ca_all_o_coord_0p28_nm,ca_all_o_coord_0p32_nm,ca_all_o_coord_0p35_nm,ca_water_first_peak_auc_0p20_0p32,ca_all_o_first_peak_auc_0p20_0p32,ca_carboxylate_o_coord_0p30_nm,ca_backbone_o_coord_0p30_nm,ca_sidechain_o_coord_0p30_nm,ca_water_residence_tau_ps,ca_water_residence_t_1e_ps,ca_avg_shell_waters_0p30_nm,ca_near_water_QO_mean,ca_near_water_QO_std,ca_near_water_dens_mean,ca_near_water_delta_QO_mean,surface_water_tau_ps,surface_water_t_1e_ps,avg_surface_waters,salt_bridge_peak_g,salt_bridge_peak_r_nm,protein_dipole_mean_debye,protein_dipole_std_debye,a_q2,enable_water_response
PME,300.6660790776781,1.6370503266318757,316.3438813624761,5.3794179956137445,1.0146951765078318,0.016533825036436533,,,,,,0.20172564685344696,0.1012534499168396,0.245,1.4485789298521166,0.8208333333333333,6.7,7.520833333333333,0.8166666666666667,0.8208333333333333,0.825,7.466666666666667,7.554166666666666,7.645833333333333,0.03465219567254342,0.32780304574221053,5.233333333333333,1.0,0.4666666666666667,444.46959197806615,,3.283333333333333,,,,,117.93377246671372,60.000000000018254,488.5833333333333,40.86385107173569,0.275,413.3481079285985,29.81341709844288,,0.0
CWLD_water_off_aq0p5,300.4088137715271,1.7627243855965424,315.4859343399022,5.552672485557854,1.0174737653381165,0.01710778280587936,,,,,,0.21712011098861694,0.1059320792555809,0.245,1.444622723459699,0.7583333333333333,6.733333333333333,7.491666666666666,0.7458333333333333,0.7666666666666667,0.775,7.3875,7.520833333333333,7.65,0.03241206332033665,0.3264266856311262,5.233333333333333,1.0,0.5,417.0348192372154,,3.033333333333333,-0.834,0.0,1.7107150450320205,-2.220446049250313e-16,114.3938931208767,60.000000000018254,498.98333333333335,25.366195196304094,0.275,443.01607930179597,40.53950429100901,0.5,0.0
CWLD_aq0_unweighted_density,300.6597542142949,1.6219859071686482,314.16584077,5.894919446645019,1.0217888545962006,0.018233859252878463,,,,,,0.20683607459068298,0.10261248052120209,0.245,2.075841405008082,1.0041666666666667,6.466666666666667,7.470833333333333,0.9958333333333333,1.0125,1.0333333333333334,7.391666666666667,7.5125,7.666666666666667,0.04294918887305437,0.324202545856088,5.075,1.0,0.39166666666666666,528.4251073971282,,4.016666666666667,-0.8430821046701885,0.0018408533903536458,1.0239117157621185,-0.009082104670188872,123.74809382081588,69.99999999999494,498.5,31.263270980221897,0.275,383.9129359963844,28.605519007956353,0.0,1.0
CWLD_aq0p5_charge_weighted_density,300.46599740242425,1.640086210640588,314.0579800430436,6.055768611680471,1.0221593450078454,0.01876453632745959,,,,,,0.22264502942562103,0.10624644160270691,0.245,1.438000532070444,0.7791666666666667,6.758333333333334,7.5375,0.7583333333333333,0.7833333333333333,0.7875,7.454166666666667,7.591666666666667,7.683333333333334,0.03300976487118596,0.32705643222226993,5.258333333333334,1.0,0.5,417.0683362118012,,3.1166666666666667,-0.8488246968135612,0.0018964539971258283,1.676768813650711,-0.014824696813561467,125.54649328779605,69.99999999999494,501.6166666666667,29.803179352931068,0.275,327.39281629709365,44.259343110098825,0.5,1.0
