#"Step","Time (ps)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,299.7927078985835,333.02333843562724,0.9636071564315247,0
10000,19.999999999999794,299.36806708383085,333.02333843562724,0.9636071564315247,60
15000,29.99999999999425,300.78534536061863,333.02333843562724,0.9636071564315247,58.2
20000,40.00000000000292,300.9245815208352,333.02333843562724,0.9636071564315247,56.4
25000,50.00000000001514,302.5217885391764,333.02333843562724,0.9636071564315247,54.9
30000,60.00000000002736,298.310236726759,323.07202384173684,0.9932883335404149,50.8
35000,70.00000000001826,299.2055982477496,317.0626288982188,1.0121144623395595,49.7
40000,79.99999999999496,299.96951478252817,314.76501291703966,1.0195023557458283,48.6
45000,89.99999999997165,299.65134410976026,312.21460543323514,1.02783043006587,47.6
50000,99.99999999994834,298.14753367774404,312.11214672414957,1.02816784141025,46.7
55000,109.99999999992504,301.1779285877139,312.11214672414957,1.02816784141025,45
60000,119.99999999990173,299.258024468264,312.11214672414957,1.02816784141025,44.4
65000,129.99999999989262,301.9865413931784,312.11214672414957,1.02816784141025,43.9
70000,139.99999999994037,303.5118807560494,312.11214672414957,1.02816784141025,43.4
75000,149.99999999998812,301.15485684222114,312.11214672414957,1.02816784141025,43
80000,160.00000000003587,297.1038707889427,312.11214672414957,1.02816784141025,42.5
85000,170.00000000008362,299.53166870634016,312.11214672414957,1.02816784141025,42.1
90000,180.00000000013137,301.0259079496053,312.11214672414957,1.02816784141025,41.7
95000,190.0000000001791,300.8320630489185,312.11214672414957,1.02816784141025,41.3
100000,200.00000000022686,303.10158361441245,312.11214672414957,1.02816784141025,41
105000,210.0000000002746,302.59304174666977,312.11214672414957,1.02816784141025,40.6
110000,220.00000000032236,302.7161820661339,312.11214672414957,1.02816784141025,40.3
115000,230.0000000003701,300.3733106941206,312.11214672414957,1.02816784141025,40
120000,240.00000000041786,300.9590901207009,312.11214672414957,1.02816784141025,39.7
125000,250.0000000004656,300.7727823673607,312.11214672414957,1.02816784141025,39.5
130000,260.00000000051335,303.6988916657293,312.11214672414957,1.02816784141025,39.2
135000,270.0000000005611,300.11531991848744,312.11214672414957,1.02816784141025,39
140000,280.00000000060885,302.0404403260584,312.11214672414957,1.02816784141025,38.7
145000,290.0000000006566,299.69288770010166,312.11214672414957,1.02816784141025,38.5
150000,300.00000000070435,300.75572056609724,312.11214672414957,1.02816784141025,38.3
155000,310.0000000007521,297.6306932602649,312.11214672414957,1.02816784141025,38.1
160000,320.00000000079984,300.55738695855655,312.11214672414957,1.02816784141025,37.9
165000,330.0000000008476,298.7977677754346,312.11214672414957,1.02816784141025,37.8
170000,340.00000000089534,301.64168345700705,312.11214672414957,1.02816784141025,37.6
175000,350.0000000009431,298.4295658670211,312.11214672414957,1.02816784141025,37.4
180000,360.00000000099084,301.79571985290585,312.11214672414957,1.02816784141025,37.3
185000,370.0000000010386,298.69117320935305,312.11214672414957,1.02816784141025,37.1
190000,380.00000000108633,301.82754012014357,312.11214672414957,1.02816784141025,37
195000,390.0000000011341,300.1760357556344,312.11214672414957,1.02816784141025,36.9
200000,400.00000000118183,300.07997382429346,312.11214672414957,1.02816784141025,36.7
205000,410.0000000012296,302.97347049894034,312.11214672414957,1.02816784141025,36.6
210000,420.00000000127733,301.8737360199934,312.11214672414957,1.02816784141025,36.5
215000,430.0000000013251,301.4425787884961,312.11214672414957,1.02816784141025,36.4
220000,440.0000000013728,301.65931917548954,312.11214672414957,1.02816784141025,36.3
225000,450.0000000014206,300.8813019591518,312.11214672414957,1.02816784141025,36.1
230000,460.0000000014683,297.0669442981606,312.11214672414957,1.02816784141025,36
235000,470.00000000151607,301.406113776703,312.11214672414957,1.02816784141025,35.9
240000,480.0000000015638,298.96884163074316,312.11214672414957,1.02816784141025,35.8
245000,490.00000000161157,299.60748336873877,312.11214672414957,1.02816784141025,35.8
250000,500.0000000016593,299.96127419776957,312.11214672414957,1.02816784141025,35.7
255000,510.00000000170706,300.5254163119174,312.11214672414957,1.02816784141025,35.6
260000,520.0000000015274,302.85047881739615,312.11214672414957,1.02816784141025,35.5
265000,530.0000000012909,302.0140915993082,312.11214672414957,1.02816784141025,35.4
270000,540.0000000010544,300.2849484380453,312.11214672414957,1.02816784141025,35.3
275000,550.000000000818,304.64259805557367,312.11214672414957,1.02816784141025,35.3
280000,560.0000000005815,300.80820795824036,312.11214672414957,1.02816784141025,35.2
285000,570.000000000345,300.9962215053101,312.11214672414957,1.02816784141025,35.1
290000,580.0000000001086,301.6539156784974,312.11214672414957,1.02816784141025,35
295000,589.9999999998721,297.97365182600765,312.11214672414957,1.02816784141025,35
300000,599.9999999996356,301.2884075979076,312.11214672414957,1.02816784141025,34.9
