#"Step","Time (ps)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,299.6483277701113,333.02333843562724,0.9636071564315247,0
10000,19.999999999999794,300.5525934207173,333.02333843562724,0.9636071564315247,59.8
15000,29.99999999999425,299.6309675807772,333.02333843562724,0.9636071564315247,58.1
20000,40.00000000000292,303.09373948359615,333.02333843562724,0.9636071564315247,56.3
25000,50.00000000001514,301.1646694372481,333.02333843562724,0.9636071564315247,54.8
30000,60.00000000002736,298.34718336276603,324.7176403492703,0.9882545088407271,50.7
35000,70.00000000001826,302.9600461802012,319.48878501716257,1.0044285972606188,49.7
40000,79.99999999999496,297.3372794066691,316.46531005769106,1.0140247982212895,48.6
45000,89.99999999997165,298.0505385558632,314.3101879687883,1.020977634384395,47.6
50000,99.99999999994834,298.9654956200639,311.8309840590502,1.0290948897961973,46.8
55000,109.99999999992504,301.0217358914029,311.8309840590502,1.0290948897961973,45.1
60000,119.99999999990173,300.1749430926136,311.8309840590502,1.0290948897961973,44.5
65000,129.99999999989262,298.2545170939743,311.8309840590502,1.0290948897961973,44
70000,139.99999999994037,301.6330992978121,311.8309840590502,1.0290948897961973,43.5
75000,149.99999999998812,300.10817689527687,311.8309840590502,1.0290948897961973,43
80000,160.00000000003587,299.4407093007678,311.8309840590502,1.0290948897961973,42.6
85000,170.00000000008362,299.39564605927967,311.8309840590502,1.0290948897961973,42.2
90000,180.00000000013137,300.5307876694393,311.8309840590502,1.0290948897961973,41.8
95000,190.0000000001791,298.53333298310014,311.8309840590502,1.0290948897961973,41.4
100000,200.00000000022686,302.45608593714996,311.8309840590502,1.0290948897961973,41
105000,210.0000000002746,297.91091851761394,311.8309840590502,1.0290948897961973,40.7
110000,220.00000000032236,299.44426097027593,311.8309840590502,1.0290948897961973,40.3
115000,230.0000000003701,299.2116931862413,311.8309840590502,1.0290948897961973,40
120000,240.00000000041786,299.9140935185093,311.8309840590502,1.0290948897961973,39.8
125000,250.0000000004656,302.183113202258,311.8309840590502,1.0290948897961973,39.5
130000,260.00000000051335,300.65313346960147,311.8309840590502,1.0290948897961973,39.2
135000,270.0000000005611,299.26056162293105,311.8309840590502,1.0290948897961973,39
140000,280.00000000060885,303.6837052457401,311.8309840590502,1.0290948897961973,38.8
145000,290.0000000006566,299.81448649235483,311.8309840590502,1.0290948897961973,38.5
150000,300.00000000070435,299.3390425682053,311.8309840590502,1.0290948897961973,38.3
155000,310.0000000007521,298.90976598875784,311.8309840590502,1.0290948897961973,38.1
160000,320.00000000079984,299.173291879475,311.8309840590502,1.0290948897961973,37.9
165000,330.0000000008476,298.6717175154687,311.8309840590502,1.0290948897961973,37.7
170000,340.00000000089534,302.5046525881331,311.8309840590502,1.0290948897961973,37.6
175000,350.0000000009431,304.60518702365863,311.8309840590502,1.0290948897961973,37.4
180000,360.00000000099084,302.0778569142978,311.8309840590502,1.0290948897961973,37.3
185000,370.0000000010386,301.0952667704965,311.8309840590502,1.0290948897961973,37.1
190000,380.00000000108633,298.2629900811583,311.8309840590502,1.0290948897961973,37
195000,390.0000000011341,301.4196558398628,311.8309840590502,1.0290948897961973,36.8
200000,400.00000000118183,299.9678925121128,311.8309840590502,1.0290948897961973,36.7
205000,410.0000000012296,299.1002946008329,311.8309840590502,1.0290948897961973,36.6
210000,420.00000000127733,300.7259964457385,311.8309840590502,1.0290948897961973,36.4
215000,430.0000000013251,301.82005100507763,311.8309840590502,1.0290948897961973,36.3
220000,440.0000000013728,299.1372208226158,311.8309840590502,1.0290948897961973,36.2
225000,450.0000000014206,302.73024856558567,311.8309840590502,1.0290948897961973,36.1
230000,460.0000000014683,299.9938122538872,311.8309840590502,1.0290948897961973,36
235000,470.00000000151607,300.24063376275774,311.8309840590502,1.0290948897961973,35.9
240000,480.0000000015638,300.4633891964451,311.8309840590502,1.0290948897961973,35.8
245000,490.00000000161157,302.3083841274,311.8309840590502,1.0290948897961973,35.7
250000,500.0000000016593,302.1719074855967,311.8309840590502,1.0290948897961973,35.6
255000,510.00000000170706,299.6367945832904,311.8309840590502,1.0290948897961973,35.5
260000,520.0000000015274,300.5956102114251,311.8309840590502,1.0290948897961973,35.4
265000,530.0000000012909,299.4981586872997,311.8309840590502,1.0290948897961973,35.3
270000,540.0000000010544,300.3811399393358,311.8309840590502,1.0290948897961973,35.3
275000,550.000000000818,300.7501691516109,311.8309840590502,1.0290948897961973,35.2
280000,560.0000000005815,300.8624777785414,311.8309840590502,1.0290948897961973,35.1
285000,570.000000000345,304.06620820038637,311.8309840590502,1.0290948897961973,35
290000,580.0000000001086,302.7453294119068,311.8309840590502,1.0290948897961973,35
295000,589.9999999998721,302.4631535316979,311.8309840590502,1.0290948897961973,34.9
300000,599.9999999996356,298.8657034380385,311.8309840590502,1.0290948897961973,34.8
