#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
1000,-35237.20786768239,294.359551617715,27.210171406853473,0.975177151258387
2000,-35451.39887642383,309.65103280506776,26.83196598578155,0.9889225952302091
3000,-35542.97774942769,289.5754577214289,27.337613029989512,0.9706311011381656
4000,-35633.81166825828,306.5310866305956,27.03446692327651,0.9815150974899208
5000,-35561.70044942474,297.6477733368134,26.773625001745874,0.9910775039262515
6000,-35087.51694695355,296.85195877951537,26.864106696318462,0.9877394300784318
7000,-35059.07422421442,298.0414550025083,27.30926095194053,0.9716387962487973
8000,-35606.09107850806,303.5827114993078,26.439875877158812,1.0035878217080028
9000,-35460.763680775126,296.06302174986257,27.04599800558397,0.9810966277639068
10000,-35802.22444417066,296.5532126376323,26.579568748292093,0.998313316858943
11000,-35584.14581617975,297.05739385497935,26.790730258870443,0.990444724029204
12000,-35630.97503271757,292.45425461102604,26.79293236474698,0.9903633195708388
13000,-36118.00022161985,292.82706898090566,26.70111380802056,0.9937689352051375
14000,-35559.67104868026,294.29610128603065,26.851892143693807,0.9881887390203709
15000,-35469.72039209903,300.88566361658036,26.787478970895656,0.9905649376941192
16000,-35521.686554243,314.32047096542027,26.796416280244596,0.9902345582439048
17000,-35932.06124926917,295.2192990125812,27.194323279326422,0.9757454585369267
18000,-35528.976478336,296.1999506133968,26.79039963788922,0.9904569471319176
19000,-35591.06157395433,296.2052896483423,27.043643074859915,0.9811820605802472
20000,-35761.13815959857,316.37289132477275,26.64423712576372,0.9958903050044523
21000,-35554.54543886462,297.16847909407727,27.0690949632358,0.9802594979191672
22000,-35480.759322589845,297.05281317157585,26.805368957506982,0.9899038315738831
23000,-35250.49497377823,298.01048338227974,26.82988377892275,0.988999343285757
24000,-35644.87126301421,298.65654233374124,27.239838761526677,0.9741150698463468
25000,-35276.63766919487,296.1163306244239,27.217850847107425,0.9749020077611221
26000,-35322.18501959386,298.78232983927074,26.831321854191884,0.9889463360017887
27000,-35229.33931827487,301.6345451198008,26.766818576646997,0.9913295209815598
28000,-35542.30649615795,296.6558901734896,26.42378923613955,1.004198799826048
29000,-35761.62560974585,298.98337379777297,26.23620419298394,1.011378675154681
30000,-35644.688719625614,304.5232617062501,26.65556122425619,0.9954672203127932
31000,-35436.1709539275,306.74766976321615,27.15706942072888,0.9770839786392388
32000,-35577.41223172331,295.38141089255186,26.776376937156144,0.9909756461848633
33000,-35541.2051964119,298.1502367095538,26.787196530388737,0.9905753820742474
34000,-35313.595063197106,294.58159980013284,27.174801193025555,0.9764464236300634
35000,-35804.060004951054,309.31174442581334,26.900342356480774,0.9864089120559125
36000,-35470.69847002666,306.6646227921491,26.696958679859172,0.993923605905201
37000,-35252.23755934942,300.7320664810631,26.74541072721418,0.9921230116233726
38000,-35319.507370320614,292.84227890580456,27.521432143247303,0.9641481337045312
39000,-35856.820504584524,304.0672148770539,26.967510230440713,0.9839520671743578
40000,-35704.65418208041,295.5360494016777,27.03078872542647,0.9816486565494822
41000,-35757.31014858032,294.5562506367171,26.718786018190478,0.993111641364342
42000,-35853.53922797242,295.1462822046352,26.549082517377595,0.9994596770121745
43000,-35858.679808731074,292.1106883064399,26.762181021938094,0.991501306116872
