,Density (g/cm³),Isothermal Comp. (10^-5 bar^-1),Coordination Number,Avg H-Bonds per Water,Diffusion Coeff (10^-5 cm²/s)
PME,0.9842952807894996,5.728272146794956,5.144393575956795,0.0,0.0005942368523452424
L-IPS,0.983355237511285,5.901037719714954,5.142648369451948,0.0,8.332267823353342e-05
