#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
1000,-35279.658841840945,301.9475876187932,27.378221077155313,0.9691914373475732
2000,-35157.768117089756,300.45995984825925,27.357303422433286,0.9699324903502373
3000,-35159.82418840657,299.9132919294685,26.976399362822963,0.9836278400577118
4000,-35295.402948056515,295.18831553713306,27.07201157581059,0.9801538893215134
5000,-35313.165900401706,296.7761102137528,26.914520965805295,0.9858892703867914
6000,-35582.89902644341,300.4194002761808,27.19630829110273,0.9756742405537674
7000,-35318.33796923168,300.62225082854343,27.245601184316882,0.9739090452906473
8000,-35520.427196285746,299.76828585308493,27.286144789466583,0.9724619451565446
9000,-35702.14861864593,298.50268341523605,27.128319180272516,0.9781194795541781
10000,-35297.741854349886,309.7032555398956,26.941895887730638,0.9848875353226988
11000,-35479.49616540224,300.0685512483718,27.198844563304416,0.9755832596502051
12000,-35781.53833555114,305.3666283708299,26.542821228252677,0.999695443434766
13000,-35458.226516292656,295.24171396375704,26.622537622335315,0.9967020354786215
14000,-35694.069779770936,288.60577356519303,26.638252781638833,0.996114034028448
15000,-35769.81678648893,300.53615107865426,26.634112255666384,0.9962688894255352
16000,-35762.73177502189,303.60708334059484,26.99858927678779,0.9828194045901945
17000,-35637.95303731886,300.36887403873754,26.794578261799106,0.9903024850224356
18000,-35551.93431970124,307.1992608662396,26.791276311040818,0.9904245370666679
19000,-35704.70891213154,306.6456427095249,27.03490724389904,0.9814991114414078
20000,-35207.30554349058,296.6872738992487,27.18030001605853,0.9762488795970119
21000,-35588.036649024136,294.2057366924907,26.993270995686668,0.983013042103265
22000,-35885.8514236543,300.32288818265926,26.917381430701298,0.9857845015905937
23000,-35380.19743427154,299.74206030741334,26.93700108099723,0.9850665023177646
24000,-35308.91282744508,305.77856875189974,27.02651083714318,0.9818040366986794
25000,-35360.613813441334,305.4948282081773,27.036806184765794,0.9814301754598178
26000,-35308.91497849965,298.31335373857206,27.355381294707673,0.9700006427225836
27000,-35576.06965491269,307.72883479759315,26.88548401457248,0.9869540538457636
28000,-35600.458347649605,301.4980125870923,26.73619296530254,0.9924650630784945
29000,-35344.92810292378,299.51886488217554,26.63390127197366,0.9962767814908804
30000,-35281.09309205834,294.6153892762848,27.108450141493133,0.9788363886275001
31000,-35496.83876966256,301.9587281248011,27.296293282499438,0.9721003933819866
32000,-35177.28001716865,292.92643967861244,27.501062379651604,0.9648622686453445
33000,-35485.366008483485,307.07523655624937,26.73340352936637,0.9925686195788592
34000,-35084.70236790734,303.5676247624802,26.752352860802716,0.9918655594837874
35000,-35698.526566852335,303.66369290057156,26.629061757638055,0.9964578429120501
36000,-35619.86667394651,301.6480125887498,26.522482811361478,1.000462046728938
37000,-35184.43710762898,298.47293041028144,27.039050808981912,0.9813487028536295
38000,-35345.78386831824,300.1394509785524,26.708912628083414,0.9934787614635987
39000,-35558.999752807154,299.9902220912089,26.63267674519671,0.9963225886625686
40000,-35575.6784117868,296.9319636386891,26.494561319905284,1.001516391133916
41000,-35575.33536481476,305.3328205228265,27.028137181419837,0.9817449593244171
42000,-35533.48268959792,304.39149176250464,27.005361016234353,0.9825729573411868
