#"Step","Time (ps)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,301.46591875545863,333.02333843562724,0.9636071564315247,0
10000,19.999999999999794,300.74688768944276,333.02333843562724,0.9636071564315247,57.1
15000,29.99999999999425,300.81350360102346,333.02333843562724,0.9636071564315247,55.3
20000,40.00000000000292,299.7447952563269,333.02333843562724,0.9636071564315247,53.6
25000,50.00000000001514,299.37537115419326,333.02333843562724,0.9636071564315247,52.1
30000,60.00000000002736,299.4791634531057,322.8428738364845,0.9939933577032315,48.2
35000,70.00000000001826,300.30836048421537,321.1221119481458,0.9993197610356617,47.2
40000,79.99999999999496,299.36092128518305,318.3734617961116,1.0079473030349395,46.2
45000,89.99999999997165,300.6917498011087,317.17385641331776,1.0117595308899288,45.3
50000,99.99999999994834,300.8995242425144,315.2430607537727,1.0179563394923914,44.4
55000,109.99999999992504,298.63551756533093,315.2430607537727,1.0179563394923914,42.9
60000,119.99999999990173,300.05120429502216,315.2430607537727,1.0179563394923914,42.3
65000,129.99999999989262,301.70042880088346,315.2430607537727,1.0179563394923914,41.8
70000,139.99999999994037,299.03671398068525,315.2430607537727,1.0179563394923914,41.3
75000,149.99999999998812,300.48901085545015,315.2430607537727,1.0179563394923914,40.8
80000,160.00000000003587,302.95049799991233,315.2430607537727,1.0179563394923914,40.3
85000,170.00000000008362,298.13224871095593,315.2430607537727,1.0179563394923914,39.9
90000,180.00000000013137,300.6794487276743,315.2430607537727,1.0179563394923914,39.5
95000,190.0000000001791,303.41236050370213,315.2430607537727,1.0179563394923914,39.1
100000,200.00000000022686,301.8593944725604,315.2430607537727,1.0179563394923914,38.8
105000,210.0000000002746,303.4547329684458,315.2430607537727,1.0179563394923914,38.5
110000,220.00000000032236,300.88207750958514,315.2430607537727,1.0179563394923914,38.2
115000,230.0000000003701,301.08564894548334,315.2430607537727,1.0179563394923914,37.9
120000,240.00000000041786,300.6135269216132,315.2430607537727,1.0179563394923914,37.6
125000,250.0000000004656,300.8007798456877,315.2430607537727,1.0179563394923914,37.4
130000,260.00000000051335,303.16453434614505,315.2430607537727,1.0179563394923914,37.1
135000,270.0000000005611,300.535773068911,315.2430607537727,1.0179563394923914,36.9
140000,280.00000000060885,301.2404542509379,315.2430607537727,1.0179563394923914,36.7
145000,290.0000000006566,298.1820990870581,315.2430607537727,1.0179563394923914,36.5
150000,300.00000000070435,299.89220388847036,315.2430607537727,1.0179563394923914,36.3
155000,310.0000000007521,295.89106536234686,315.2430607537727,1.0179563394923914,36.1
160000,320.00000000079984,297.6413475277199,315.2430607537727,1.0179563394923914,35.9
165000,330.0000000008476,299.84728684046786,315.2430607537727,1.0179563394923914,35.8
170000,340.00000000089534,301.0498215920026,315.2430607537727,1.0179563394923914,35.6
175000,350.0000000009431,303.1559245508669,315.2430607537727,1.0179563394923914,35.5
180000,360.00000000099084,298.05899856143446,315.2430607537727,1.0179563394923914,35.3
185000,370.0000000010386,300.0166730898606,315.2430607537727,1.0179563394923914,35.2
190000,380.00000000108633,301.41213839573453,315.2430607537727,1.0179563394923914,35.1
195000,390.0000000011341,297.5723476677057,315.2430607537727,1.0179563394923914,34.9
200000,400.00000000118183,298.4893109061188,315.2430607537727,1.0179563394923914,34.8
205000,410.0000000012296,300.4685976383332,315.2430607537727,1.0179563394923914,34.7
210000,420.00000000127733,299.46054047907325,315.2430607537727,1.0179563394923914,34.6
215000,430.0000000013251,300.0219651148314,315.2430607537727,1.0179563394923914,34.5
220000,440.0000000013728,302.0829285277032,315.2430607537727,1.0179563394923914,34.4
225000,450.0000000014206,301.70685181393276,315.2430607537727,1.0179563394923914,34.3
230000,460.0000000014683,298.8204882595901,315.2430607537727,1.0179563394923914,34.2
235000,470.00000000151607,299.5879744652718,315.2430607537727,1.0179563394923914,34.1
240000,480.0000000015638,295.7589344676055,315.2430607537727,1.0179563394923914,34
245000,490.00000000161157,298.61158190933236,315.2430607537727,1.0179563394923914,33.9
250000,500.0000000016593,301.12031141330283,315.2430607537727,1.0179563394923914,33.8
255000,510.00000000170706,298.8456018856157,315.2430607537727,1.0179563394923914,33.7
260000,520.0000000015274,298.3910545397704,315.2430607537727,1.0179563394923914,33.7
265000,530.0000000012909,301.2219288421892,315.2430607537727,1.0179563394923914,33.6
270000,540.0000000010544,299.3284832257666,315.2430607537727,1.0179563394923914,33.5
275000,550.000000000818,300.06647851428545,315.2430607537727,1.0179563394923914,33.4
280000,560.0000000005815,301.5478268117187,315.2430607537727,1.0179563394923914,33.4
285000,570.000000000345,298.0437163489764,315.2430607537727,1.0179563394923914,33.3
290000,580.0000000001086,301.04072153465427,315.2430607537727,1.0179563394923914,33.3
295000,589.9999999998721,299.5272267799822,315.2430607537727,1.0179563394923914,33.2
300000,599.9999999996356,295.5716379685277,315.2430607537727,1.0179563394923914,33.1
