group,force,energy_kj_mol
PME,0:HarmonicBondForce,2049.9228972689257
PME,1:NonbondedForce,-455477.534620265
PME,2:PeriodicTorsionForce,4028.7619469988076
PME,3:CMAPTorsionForce,761.8447671972713
PME,4:CMMotionRemover,0.0
PME,5:HarmonicAngleForce,5508.1240472915115
PME,6:CustomExternalForce,182608.78927029323
PME,7:MonteCarloBarostat,0.0
CWLD_water_off_aq0p5,0:HarmonicBondForce,1964.5641454352865
CWLD_water_off_aq0p5,1:NonbondedForce,-436345.37252770923
CWLD_water_off_aq0p5,2:PeriodicTorsionForce,4009.17092879127
CWLD_water_off_aq0p5,3:CMAPTorsionForce,685.4655973957658
CWLD_water_off_aq0p5,4:CMMotionRemover,0.0
CWLD_water_off_aq0p5,5:HarmonicAngleForce,5606.297677584361
CWLD_water_off_aq0p5,6:CustomExternalForce,193975.35826956254
CWLD_water_off_aq0p5,7:CustomGBForce,11119.36787702207
CWLD_water_off_aq0p5,8:MonteCarloBarostat,0.0
CWLD_aq0_unweighted_density,0:HarmonicBondForce,2104.1367299586145
CWLD_aq0_unweighted_density,1:NonbondedForce,-436894.38954904524
CWLD_aq0_unweighted_density,2:PeriodicTorsionForce,4163.862723119324
CWLD_aq0_unweighted_density,3:CMAPTorsionForce,711.1772323826917
CWLD_aq0_unweighted_density,4:CMMotionRemover,0.0
CWLD_aq0_unweighted_density,5:HarmonicAngleForce,5475.062621643757
CWLD_aq0_unweighted_density,6:CustomExternalForce,209808.31800423708
CWLD_aq0_unweighted_density,7:CustomGBForce,7215.42097663198
CWLD_aq0_unweighted_density,8:MonteCarloBarostat,0.0
CWLD_aq0p5_charge_weighted_density,0:HarmonicBondForce,2192.2913195581364
CWLD_aq0p5_charge_weighted_density,1:NonbondedForce,-439266.1846264269
CWLD_aq0p5_charge_weighted_density,2:PeriodicTorsionForce,4232.605750756831
CWLD_aq0p5_charge_weighted_density,3:CMAPTorsionForce,742.3031978533761
CWLD_aq0p5_charge_weighted_density,4:CMMotionRemover,0.0
CWLD_aq0p5_charge_weighted_density,5:HarmonicAngleForce,5753.103447495895
CWLD_aq0p5_charge_weighted_density,6:CustomExternalForce,214150.25940931973
CWLD_aq0p5_charge_weighted_density,7:CustomGBForce,7250.407330521444
CWLD_aq0p5_charge_weighted_density,8:MonteCarloBarostat,0.0
