group,r_nm,g_r
CWLD_aq0_unweighted_density,0.315,0.0
CWLD_aq0_unweighted_density,0.325,0.0
CWLD_aq0_unweighted_density,0.33499999999999996,0.0
CWLD_aq0_unweighted_density,0.345,0.0
CWLD_aq0_unweighted_density,0.355,0.008753571253673159
CWLD_aq0_unweighted_density,0.365,0.008280523620249754
CWLD_aq0_unweighted_density,0.375,0.04706885931757035
CWLD_aq0_unweighted_density,0.385,0.059540819267170274
CWLD_aq0_unweighted_density,0.395,0.06363496607375427
CWLD_aq0_unweighted_density,0.405,0.11433718745627947
CWLD_aq0_unweighted_density,0.41500000000000004,0.15373215983033053
CWLD_aq0_unweighted_density,0.42500000000000004,0.21987471946207351
CWLD_aq0_unweighted_density,0.43500000000000005,0.27984289936350765
CWLD_aq0_unweighted_density,0.44500000000000006,0.31197545244365305
CWLD_aq0_unweighted_density,0.455,0.3570304210238747
CWLD_aq0_unweighted_density,0.46499999999999997,0.2857169975285558
CWLD_aq0_unweighted_density,0.475,0.3129301501327892
CWLD_aq0_unweighted_density,0.485,0.37050913701302546
CWLD_aq0_unweighted_density,0.495,0.27014490200085617
CWLD_aq0_unweighted_density,0.505,0.2725299873661882
CWLD_aq0_unweighted_density,0.515,0.18717813006864695
CWLD_aq0_unweighted_density,0.525,0.22014136051005026
CWLD_aq0_unweighted_density,0.535,0.24282367920562575
CWLD_aq0_unweighted_density,0.545,0.20428110313742553
CWLD_aq0_unweighted_density,0.555,0.17191517581285976
CWLD_aq0_unweighted_density,0.5650000000000001,0.21772234868316911
CWLD_aq0_unweighted_density,0.575,0.2035419324043205
CWLD_aq0_unweighted_density,0.585,0.24499768395543997
CWLD_aq0_unweighted_density,0.595,0.27422636814727147
CWLD_aq0p5_charge_weighted_density,0.10500000000000001,0.0
CWLD_aq0p5_charge_weighted_density,0.115,0.0
CWLD_aq0p5_charge_weighted_density,0.125,0.0
CWLD_aq0p5_charge_weighted_density,0.135,0.0
CWLD_aq0p5_charge_weighted_density,0.14500000000000002,0.0
