#"Step","Time (ps)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,301.35547529562143,333.02333843562724,0.9636071564315247,0
10000,19.999999999999794,299.78725762080364,333.02333843562724,0.9636071564315247,435
15000,29.99999999999425,302.8460904628704,333.02333843562724,0.9636071564315247,435
20000,40.00000000000292,299.32993889219483,333.02333843562724,0.9636071564315247,434
25000,50.00000000001514,299.99504352041646,333.02333843562724,0.9636071564315247,434
30000,60.00000000002736,296.25774887554974,328.4114608258359,0.9771390784241559,409
35000,70.00000000001826,300.5854230283789,320.68741639886093,1.0006743506772282,407
40000,79.99999999999496,298.6432781294928,318.6377100439721,1.007111406025995,406
45000,89.99999999997165,300.6463796051371,316.3963497852688,1.0142458103359229,405
50000,99.99999999994834,302.30743857455235,314.93089042456404,1.0189653728240884,403
55000,109.99999999992504,302.78159261878784,314.93089042456404,1.0189653728240884,400
60000,119.99999999990173,299.6609099858237,314.93089042456404,1.0189653728240884,402
65000,129.99999999989262,302.00323993676244,314.93089042456404,1.0189653728240884,403
70000,139.99999999994037,300.0679227880054,314.93089042456404,1.0189653728240884,404
75000,149.99999999998812,298.54574350231024,314.93089042456404,1.0189653728240884,405
80000,160.00000000003587,299.83243382158884,314.93089042456404,1.0189653728240884,406
85000,170.00000000008362,300.44181809339983,314.93089042456404,1.0189653728240884,407
90000,180.00000000013137,302.33083783577723,314.93089042456404,1.0189653728240884,407
95000,190.0000000001791,300.5557283566622,314.93089042456404,1.0189653728240884,408
100000,200.00000000022686,297.87935967376364,314.93089042456404,1.0189653728240884,408
105000,210.0000000002746,302.5827220267606,314.93089042456404,1.0189653728240884,409
110000,220.00000000032236,301.75234221840026,314.93089042456404,1.0189653728240884,409
115000,230.0000000003701,298.50091378224744,314.93089042456404,1.0189653728240884,409
120000,240.00000000041786,300.1916838473344,314.93089042456404,1.0189653728240884,410
125000,250.0000000004656,302.9393075039663,314.93089042456404,1.0189653728240884,410
130000,260.00000000051335,297.46448222938284,314.93089042456404,1.0189653728240884,410
135000,270.0000000005611,300.1938615559305,314.93089042456404,1.0189653728240884,410
140000,280.00000000060885,299.92029530721237,314.93089042456404,1.0189653728240884,410
145000,290.0000000006566,297.82223096579645,314.93089042456404,1.0189653728240884,410
150000,300.00000000070435,301.5961192322023,314.93089042456404,1.0189653728240884,410
155000,310.0000000007521,299.9889013485425,314.93089042456404,1.0189653728240884,411
160000,320.00000000079984,299.29798119954773,314.93089042456404,1.0189653728240884,411
165000,330.0000000008476,298.55636834229443,314.93089042456404,1.0189653728240884,411
170000,340.00000000089534,301.9436405865317,314.93089042456404,1.0189653728240884,411
175000,350.0000000009431,301.12946649557466,314.93089042456404,1.0189653728240884,411
180000,360.00000000099084,300.9962532565125,314.93089042456404,1.0189653728240884,411
185000,370.0000000010386,300.42804575994154,314.93089042456404,1.0189653728240884,411
190000,380.00000000108633,301.6324476778504,314.93089042456404,1.0189653728240884,411
195000,390.0000000011341,299.28374414448103,314.93089042456404,1.0189653728240884,411
200000,400.00000000118183,301.44613315694204,314.93089042456404,1.0189653728240884,411
205000,410.0000000012296,300.5764606546858,314.93089042456404,1.0189653728240884,411
210000,420.00000000127733,298.9634095413082,314.93089042456404,1.0189653728240884,411
215000,430.0000000013251,298.31759871943694,314.93089042456404,1.0189653728240884,411
220000,440.0000000013728,297.3791789133327,314.93089042456404,1.0189653728240884,411
225000,450.0000000014206,299.09954630444895,314.93089042456404,1.0189653728240884,411
230000,460.0000000014683,300.46263027484446,314.93089042456404,1.0189653728240884,411
235000,470.00000000151607,303.14680913929084,314.93089042456404,1.0189653728240884,411
240000,480.0000000015638,300.3354756580761,314.93089042456404,1.0189653728240884,411
245000,490.00000000161157,301.852848944071,314.93089042456404,1.0189653728240884,411
250000,500.0000000016593,299.4015902807213,314.93089042456404,1.0189653728240884,411
255000,510.00000000170706,302.4281345109395,314.93089042456404,1.0189653728240884,411
260000,520.0000000015274,299.3298947507826,314.93089042456404,1.0189653728240884,411
265000,530.0000000012909,301.35394289138486,314.93089042456404,1.0189653728240884,411
270000,540.0000000010544,303.81360325504136,314.93089042456404,1.0189653728240884,410
275000,550.000000000818,302.74763616692445,314.93089042456404,1.0189653728240884,410
280000,560.0000000005815,299.9953553320551,314.93089042456404,1.0189653728240884,410
285000,570.000000000345,304.49178780342965,314.93089042456404,1.0189653728240884,410
290000,580.0000000001086,297.9252887486834,314.93089042456404,1.0189653728240884,410
295000,589.9999999998721,301.2669136010768,314.93089042456404,1.0189653728240884,410
300000,599.9999999996356,298.6584923547615,314.93089042456404,1.0189653728240884,410
