#"Step","Time (ps)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,298.8265821029328,333.02333843562724,0.9636071564315247,0
10000,19.999999999999794,299.21156444504606,333.02333843562724,0.9636071564315247,57.1
15000,29.99999999999425,299.7110664513162,333.02333843562724,0.9636071564315247,55.4
20000,40.00000000000292,302.00538831924825,333.02333843562724,0.9636071564315247,53.7
25000,50.00000000001514,300.5136193502885,333.02333843562724,0.9636071564315247,52.2
30000,60.00000000002736,300.59374855541733,325.4583620013088,0.9860053071059134,48.2
35000,70.00000000001826,303.9843621070931,318.3462482159936,1.0080334666220387,47.2
40000,79.99999999999496,298.29501858113895,314.46917973159987,1.0204614406066121,46.2
45000,89.99999999997165,298.95088902856276,312.5446267881595,1.0267451258817968,45.2
50000,99.99999999994834,301.58104840472134,311.16040344027294,1.0313126883346688,44.3
55000,109.99999999992504,299.6750742875208,311.16040344027294,1.0313126883346688,42.7
60000,119.99999999990173,299.0723525753602,311.16040344027294,1.0313126883346688,42.1
65000,129.99999999989262,301.0769830218543,311.16040344027294,1.0313126883346688,41.6
70000,139.99999999994037,299.90965276832117,311.16040344027294,1.0313126883346688,41.1
75000,149.99999999998812,304.2038839537146,311.16040344027294,1.0313126883346688,40.6
80000,160.00000000003587,299.6183180546967,311.16040344027294,1.0313126883346688,40.2
85000,170.00000000008362,296.8699242641792,311.16040344027294,1.0313126883346688,39.7
90000,180.00000000013137,300.76659850134934,311.16040344027294,1.0313126883346688,39.3
95000,190.0000000001791,298.37672198696276,311.16040344027294,1.0313126883346688,38.9
100000,200.00000000022686,302.9759895952867,311.16040344027294,1.0313126883346688,38.6
105000,210.0000000002746,300.1330052876901,311.16040344027294,1.0313126883346688,38.3
110000,220.00000000032236,301.0302894200906,311.16040344027294,1.0313126883346688,37.9
115000,230.0000000003701,303.8832989108696,311.16040344027294,1.0313126883346688,37.7
120000,240.00000000041786,300.9530276158628,311.16040344027294,1.0313126883346688,37.4
125000,250.0000000004656,300.8382362868297,311.16040344027294,1.0313126883346688,37.1
130000,260.00000000051335,297.4231332640145,311.16040344027294,1.0313126883346688,36.9
135000,270.0000000005611,301.88264590565035,311.16040344027294,1.0313126883346688,36.6
140000,280.00000000060885,301.7207013515682,311.16040344027294,1.0313126883346688,36.4
145000,290.0000000006566,299.8601167628247,311.16040344027294,1.0313126883346688,36.2
150000,300.00000000070435,299.19232065485295,311.16040344027294,1.0313126883346688,36
155000,310.0000000007521,297.7135525716573,311.16040344027294,1.0313126883346688,35.8
160000,320.00000000079984,302.1810599369308,311.16040344027294,1.0313126883346688,35.7
165000,330.0000000008476,302.189510510817,311.16040344027294,1.0313126883346688,35.5
170000,340.00000000089534,296.73717359095446,311.16040344027294,1.0313126883346688,35.3
175000,350.0000000009431,299.5991199159428,311.16040344027294,1.0313126883346688,35.2
180000,360.00000000099084,300.3524584127798,311.16040344027294,1.0313126883346688,35
185000,370.0000000010386,300.49914414458664,311.16040344027294,1.0313126883346688,34.9
190000,380.00000000108633,300.43514065547396,311.16040344027294,1.0313126883346688,34.8
195000,390.0000000011341,297.4697149166431,311.16040344027294,1.0313126883346688,34.6
200000,400.00000000118183,302.9626716436598,311.16040344027294,1.0313126883346688,34.5
205000,410.0000000012296,298.40357684574684,311.16040344027294,1.0313126883346688,34.4
210000,420.00000000127733,297.13132584641596,311.16040344027294,1.0313126883346688,34.3
215000,430.0000000013251,300.7242449164863,311.16040344027294,1.0313126883346688,34.2
220000,440.0000000013728,300.1017897942986,311.16040344027294,1.0313126883346688,34.1
225000,450.0000000014206,299.8998948989043,311.16040344027294,1.0313126883346688,34
230000,460.0000000014683,300.7428652155065,311.16040344027294,1.0313126883346688,33.9
235000,470.00000000151607,298.7831688422214,311.16040344027294,1.0313126883346688,33.8
240000,480.0000000015638,297.1129379115826,311.16040344027294,1.0313126883346688,33.7
245000,490.00000000161157,298.73207520870557,311.16040344027294,1.0313126883346688,33.6
250000,500.0000000016593,300.6707752732868,311.16040344027294,1.0313126883346688,33.5
255000,510.00000000170706,302.19130004393156,311.16040344027294,1.0313126883346688,33.4
260000,520.0000000015274,298.06514586506887,311.16040344027294,1.0313126883346688,33.4
265000,530.0000000012909,300.77136433899074,311.16040344027294,1.0313126883346688,33.3
270000,540.0000000010544,299.86877391153615,311.16040344027294,1.0313126883346688,33.2
275000,550.000000000818,298.816135168568,311.16040344027294,1.0313126883346688,33.2
280000,560.0000000005815,297.66110014658057,311.16040344027294,1.0313126883346688,33.1
285000,570.000000000345,297.4622560344129,311.16040344027294,1.0313126883346688,33
290000,580.0000000001086,297.6092421467281,311.16040344027294,1.0313126883346688,33
295000,589.9999999998721,299.55039259068775,311.16040344027294,1.0313126883346688,32.9
300000,599.9999999996356,300.59076069265103,311.16040344027294,1.0313126883346688,32.8
