,temperature_mean_K,temperature_std_K,volume_mean_nm3,volume_std_nm3,density_mean_g_ml,density_std_g_ml,cwld_rms_over_base_mean,cwld_rms_over_base_max,cwld_max_over_base_mean,cwld_max_over_base_max,force_norm_warning_count,mean_rmsd_nm,mean_protein_rmsf_nm,ca_water_peak_r_nm,ca_water_peak_g,ca_water_coord_0p30_nm,ca_protein_o_coord_0p30_nm,ca_total_o_coord_0p30_nm,ca_water_coord_0p28_nm,ca_water_coord_0p32_nm,ca_water_coord_0p35_nm,ca_all_o_coord_0p28_nm,ca_all_o_coord_0p32_nm,ca_all_o_coord_0p35_nm,ca_water_first_peak_auc_0p20_0p32,ca_all_o_first_peak_auc_0p20_0p32,ca_carboxylate_o_coord_0p30_nm,ca_backbone_o_coord_0p30_nm,ca_sidechain_o_coord_0p30_nm,ca_water_residence_tau_ps,ca_water_residence_t_1e_ps,ca_avg_shell_waters_0p30_nm,ca_near_water_QO_mean,ca_near_water_QO_std,ca_near_water_dens_mean,ca_near_water_delta_QO_mean,surface_water_tau_ps,surface_water_t_1e_ps,avg_surface_waters,salt_bridge_peak_g,salt_bridge_peak_r_nm,protein_dipole_mean_debye,protein_dipole_std_debye,water_net_delta_Q_mean,water_net_delta_Q_abs_mean,water_net_delta_Q_max,near_Ca_water_net_delta_Q_mean,solute_polar_atom_delta_Q_mean,carboxylate_O_delta_Q_near_Ca_mean,Ca_source_charge_mod_mean,ion_source_charge_mod_mean,saltbridge_source_charge_mod_mean,a_q2,enable_water_response,enable_solute_polarization
PME,300.41778665167743,1.7269060087809114,316.84541734808056,5.240085920380232,1.0130740073608242,0.01606598922302507,,,,,,0.2059479057788849,0.11242636293172836,0.245,1.8365777911245285,0.9541666666666667,6.629166666666666,7.583333333333333,0.9291666666666667,0.9625,0.975,7.466666666666667,7.645833333333333,7.725,0.04041225346605824,0.3303514824537299,5.158333333333333,1.0,0.4708333333333333,373.7976203576577,589.9999999996356,3.816666666666667,,,,,113.57972912102936,60.000000000018254,479.56666666666666,41.138050148631386,0.275,445.19322074202375,45.06034289884316,,,,,,,,,,,0.0,1.0
CWLD_water_off_aq0p5,300.2228413876568,1.713936992310123,317.55397153355733,5.0490390015469675,1.010793927946025,0.015439741363653699,,,,,,0.21285901963710785,0.10707416385412216,0.245,1.3069119560500724,0.7291666666666666,6.745833333333334,7.475,0.7208333333333333,0.7416666666666667,0.75,7.35,7.558333333333334,7.6625,0.03137517938507332,0.32764794734499303,5.245833333333334,1.0,0.5,393.4906938758793,,2.9166666666666665,-0.834,0.0,1.7916149487832773,-2.220446049250313e-16,119.39565334603681,60.000000000018254,492.3333333333333,37.254276489958194,0.275,387.48140067616333,30.239527169023365,0.0,0.0,0.0,,0.00029916045208729395,0.0011236051019466163,2.5,1.232686358208955,0.9453366843805311,0.5,0.0,1.0
CWLD_aq0_unweighted_density,300.0674102916968,1.733648609871592,317.03375157690994,4.990231689975571,1.012447150815556,0.015279739692788785,,,,,,0.20330023765563965,0.09971431642770767,0.245,1.8377153198300016,0.9666666666666667,6.579166666666667,7.545833333333333,0.9583333333333334,0.9666666666666667,0.9666666666666667,7.479166666666667,7.579166666666667,7.683333333333334,0.04131935822592039,0.3282527656696896,5.095833333333333,1.0,0.48333333333333334,558.9042146581313,,3.8666666666666667,-0.8431327024229848,0.001519208648795776,1.0295896242375944,-0.009132702422985004,118.96609386869412,69.99999999999494,485.18333333333334,44.92466471117745,0.275,357.08133034152365,34.03539996710178,0.0008049030835749664,0.0009035995048128086,0.004941998732426438,,0.00032239363463149506,0.0006263668214419787,1.0,1.0,1.0,0.0,1.0,1.0
CWLD_aq0p5_charge_weighted_density,299.9694038967838,1.8086618226770623,313.4185947394854,6.262196120906607,1.0242704704573682,0.01944132988203484,,,,,,0.21059581637382507,0.11028080433607101,0.245,1.9436573495142002,0.9208333333333333,6.604166666666667,7.525,0.9166666666666666,0.925,0.925,7.45,7.570833333333334,7.679166666666666,0.039314028821877095,0.3238113067126992,5.1375,1.0,0.4666666666666667,565.7906413540447,,3.683333333333333,-0.8485653810775786,0.0015522340528321302,1.6469951617184975,-0.014565381077578664,124.24423549821769,69.99999999999494,495.98333333333335,39.242591262345925,0.275,378.7643255171154,23.646216720215374,0.0007999797399471736,0.0009249771094637952,0.005256007154575926,,0.00029496438131911343,0.0011183519494158429,2.5,1.232686358208955,0.9453366843805311,0.5,1.0,1.0
