frame,distance_to_interface_nm,distance_to_ca_nm,water_oxygen_Qe,dens,s_phase,group
0,0.32998425546052895,3.4419003589626587,-0.834,0.11961692386268452,0.0,CWLD_water_off_aq0p5
0,1.3120454110266433,3.248218154320376,-0.834,0.22326991334557533,0.0,CWLD_water_off_aq0p5
0,1.547901847556287,4.294673068388582,-0.834,0.17150328337447718,0.0,CWLD_water_off_aq0p5
0,0.6766826841550437,2.5465064777537525,-0.834,0.2449479966890067,0.0,CWLD_water_off_aq0p5
0,0.5786670207681048,3.3748103851815885,-0.834,0.39684828144527273,0.0,CWLD_water_off_aq0p5
0,1.633476960690327,3.9300113866550115,-0.834,0.18924174510175362,0.0,CWLD_water_off_aq0p5
0,0.24485174377947957,2.236073794775419,-0.834,0.6935148470166028,0.0,CWLD_water_off_aq0p5
0,0.7360049296847477,2.2506944028390374,-0.834,0.2387949526309967,0.0,CWLD_water_off_aq0p5
0,0.6898903134755303,3.7591304533941425,-0.834,0.26939054764807224,0.0,CWLD_water_off_aq0p5
0,0.9502598416121674,3.398746848541282,-0.834,0.23708467185497284,0.0,CWLD_water_off_aq0p5
0,1.0459959702355264,2.585903917394931,-0.834,0.09759089624276385,0.0,CWLD_water_off_aq0p5
0,1.1349621787432715,3.3191996117152613,-0.834,0.30448048282414675,0.0,CWLD_water_off_aq0p5
0,0.24993336621839984,1.69645840700544,-0.834,0.8285589515952467,0.0,CWLD_water_off_aq0p5
0,1.4209797659239636,4.331224991172317,-0.834,0.1976545061916113,0.0,CWLD_water_off_aq0p5
0,0.5120323048233929,2.491422835218387,-0.834,0.28387783450307325,0.0,CWLD_water_off_aq0p5
0,0.22246602273993626,2.532470206473185,-0.834,0.9326673461813629,0.0,CWLD_water_off_aq0p5
0,0.4062222486264738,2.885422645914658,-0.834,0.26137033849954605,0.0,CWLD_water_off_aq0p5
0,2.3355190551261087,4.394121099227809,-0.834,0.21897288968466455,0.0,CWLD_water_off_aq0p5
0,0.3215682612668863,1.211326060908725,-0.834,0.2157705648760098,0.0,CWLD_water_off_aq0p5
0,1.2027967157188786,3.0718769789056313,-0.834,0.180611252784729,0.0,CWLD_water_off_aq0p5
0,0.9447799377475818,3.601604994173728,-0.834,0.06680088839493692,0.0,CWLD_water_off_aq0p5
0,1.080589364223809,2.2678950782830705,-0.834,0.24932495661778376,0.0,CWLD_water_off_aq0p5
0,1.355288872048396,3.617441987373331,-0.834,0.25429424131289124,0.0,CWLD_water_off_aq0p5
0,0.7446677392180033,3.7167206947368565,-0.834,0.21179981253226288,0.0,CWLD_water_off_aq0p5
0,0.6978525940963471,2.665643694364361,-0.834,0.3034418712486513,0.0,CWLD_water_off_aq0p5
0,1.4984449920467084,3.4157279759990713,-0.834,0.18668280774727464,0.0,CWLD_water_off_aq0p5
0,1.0518461609740168,2.7218697194768136,-0.834,0.16725976747693494,0.0,CWLD_water_off_aq0p5
0,1.1465036169613732,3.794952541108905,-0.834,0.14517704909667373,0.0,CWLD_water_off_aq0p5
0,0.45318554666194677,1.8179272967925477,-0.834,0.18857776373624802,0.0,CWLD_water_off_aq0p5
0,0.24969861368375587,2.0241633362760445,-0.834,0.7703161080444157,0.0,CWLD_water_off_aq0p5
0,0.9663759284642113,3.9853161473160887,-0.834,0.22144735231995583,0.0,CWLD_water_off_aq0p5
0,1.3808419516345565,3.889493213621791,-0.834,0.21492559649050236,0.0,CWLD_water_off_aq0p5
0,0.7807469264888832,2.834554683755258,-0.834,0.38383110612630844,0.0,CWLD_water_off_aq0p5
0,0.8043604138799715,2.800949635406186,-0.834,0.11581053584814072,0.0,CWLD_water_off_aq0p5
0,0.9107010387977077,3.0043106902552754,-0.834,0.22253577189985663,0.0,CWLD_water_off_aq0p5
0,1.0723195826414837,3.4825559108783577,-0.834,0.24691580631770194,0.0,CWLD_water_off_aq0p5
0,0.9246231553846535,3.259243224198438,-0.834,0.2846760153770447,0.0,CWLD_water_off_aq0p5
0,0.6469399011938017,3.3071097117967274,-0.834,0.21314895618706942,0.0,CWLD_water_off_aq0p5
0,1.3353937252811663,3.3587710067195466,-0.834,0.25061149723478593,0.0,CWLD_water_off_aq0p5
0,0.7330973995152553,3.2238107535884324,-0.834,0.28805299173109233,0.0,CWLD_water_off_aq0p5
0,0.984627886996493,3.8225373498164323,-0.834,0.19810397643595934,0.0,CWLD_water_off_aq0p5
0,1.3150708406550817,3.703490643081722,-0.834,0.20900574093684554,0.0,CWLD_water_off_aq0p5
0,1.09588725178152,3.3083931696503113,-0.834,0.23300001677125692,0.0,CWLD_water_off_aq0p5
0,1.3595297392743833,3.4344833813151894,-0.834,0.19393824506551027,0.0,CWLD_water_off_aq0p5
0,1.0599249284408732,2.995997522739782,-0.834,0.1963486475578975,0.0,CWLD_water_off_aq0p5
0,0.4595920770132549,2.448961103484471,-0.834,0.18716073594987392,0.0,CWLD_water_off_aq0p5
0,1.2225088864187672,2.527159212205616,-0.834,0.17867825494613498,0.0,CWLD_water_off_aq0p5
0,0.5924220072440145,2.085278823260575,-0.834,0.2682127431035042,0.0,CWLD_water_off_aq0p5
0,0.3555453432180878,2.9855610971377136,-0.834,0.0900239609181881,0.0,CWLD_water_off_aq0p5
0,0.507797626447831,2.7812062840759233,-0.834,0.21358073607552797,0.0,CWLD_water_off_aq0p5
0,1.368839395357184,3.4704473697548464,-0.834,0.23915825350559317,0.0,CWLD_water_off_aq0p5
0,1.4236958996484939,2.7630994063964525,-0.834,0.23683766007889062,0.0,CWLD_water_off_aq0p5
0,0.3499403059801926,3.40392365251692,-0.834,0.16274899856247582,0.0,CWLD_water_off_aq0p5
0,1.250426659484335,3.388125882019951,-0.834,0.24066957458853722,0.0,CWLD_water_off_aq0p5
0,0.4478202655723816,2.1534963298685494,-0.834,0.18921520002186298,0.0,CWLD_water_off_aq0p5
0,0.8136305886981529,3.327250862348105,-0.834,0.12368272780440748,0.0,CWLD_water_off_aq0p5
0,1.1630379099451744,3.5317177575308416,-0.834,0.22008015075698495,0.0,CWLD_water_off_aq0p5
0,0.6549517873428496,3.156191571078761,-0.834,0.14934501191601157,0.0,CWLD_water_off_aq0p5
0,0.8469644215324686,2.4238914431757523,-0.834,0.12867862172424793,0.0,CWLD_water_off_aq0p5
0,0.982410532837487,3.851779549144242,-0.834,0.1827519158832729,0.0,CWLD_water_off_aq0p5
0,0.8027728071223601,3.1105483413681863,-0.834,0.2655397255148273,0.0,CWLD_water_off_aq0p5
0,0.5641168472322704,1.2663404689919557,-0.834,0.11732859490439296,0.0,CWLD_water_off_aq0p5
0,0.9316079366560136,2.954647241008343,-0.834,0.280721980612725,0.0,CWLD_water_off_aq0p5
0,0.352036837647992,3.369536047002457,-0.834,0.12842636182904243,0.0,CWLD_water_off_aq0p5
0,0.47574770180751774,2.303684475789257,-0.834,0.19192850386025384,0.0,CWLD_water_off_aq0p5
0,0.6210603165999636,3.1078790706406476,-0.834,0.2576080006547272,0.0,CWLD_water_off_aq0p5
0,1.5820500876289993,3.953445801888855,-0.834,0.20852326723979786,0.0,CWLD_water_off_aq0p5
0,2.1011433340587486,4.2132796501674346,-0.834,0.20874363469192758,0.0,CWLD_water_off_aq0p5
0,0.7600171410703436,2.57065707297913,-0.834,0.25958534167148173,0.0,CWLD_water_off_aq0p5
0,1.2447652045720334,3.5726705750285594,-0.834,0.2562995695043355,0.0,CWLD_water_off_aq0p5
0,0.7125956345188031,3.1843127880585733,-0.834,0.1970007895724848,0.0,CWLD_water_off_aq0p5
0,1.4294789928129794,3.9063737257807722,-0.834,0.25019703805446625,0.0,CWLD_water_off_aq0p5
0,1.6250413003685436,3.058356138131708,-0.834,0.07937649334780872,0.0,CWLD_water_off_aq0p5
0,1.3673944556960342,3.1010176456202765,-0.834,0.1896183518692851,0.0,CWLD_water_off_aq0p5
0,0.7586515152785438,2.6857951084765794,-0.834,0.2006820309907198,0.0,CWLD_water_off_aq0p5
0,0.24017594444328866,2.0704858907964945,-0.834,0.9313645320581496,0.0,CWLD_water_off_aq0p5
0,1.551575851479472,3.513724533605242,-0.834,0.16911746328696609,0.0,CWLD_water_off_aq0p5
0,1.5033415231154599,3.2405834304358985,-0.834,0.19956016167998314,0.0,CWLD_water_off_aq0p5
0,0.5779489635996772,3.328385188649737,-0.834,0.27974950801581144,0.0,CWLD_water_off_aq0p5
0,1.1460918006221883,2.939079802730488,-0.834,0.2800883427262306,0.0,CWLD_water_off_aq0p5
0,0.47111500118335203,1.9952846729677152,-0.834,0.18162522464990616,0.0,CWLD_water_off_aq0p5
0,0.5327646605196621,1.3575846439148276,-0.834,0.17518634590669535,0.0,CWLD_water_off_aq0p5
0,1.1933165977805755,2.9043155449133167,-0.834,0.18993491912260652,0.0,CWLD_water_off_aq0p5
0,1.204595660633703,3.5793198717168737,-0.834,0.20495321019552648,0.0,CWLD_water_off_aq0p5
0,0.2244699690518968,2.425729112559981,-0.834,0.9331977072510422,0.0,CWLD_water_off_aq0p5
0,0.7161956654532253,1.7400869042647633,-0.834,0.24733646435197443,0.0,CWLD_water_off_aq0p5
0,1.0333856517242719,3.755194763845206,-0.834,0.20432025101035833,0.0,CWLD_water_off_aq0p5
0,1.4029712577442546,3.681526801032193,-0.834,0.23098639026284218,0.0,CWLD_water_off_aq0p5
0,0.6879550515891322,3.990150669253299,-0.834,0.18286090064793825,0.0,CWLD_water_off_aq0p5
0,1.1325309885463655,3.345794075976904,-0.834,0.26966425380669534,0.0,CWLD_water_off_aq0p5
0,0.9328253657347392,2.1333264869863764,-0.834,0.17770563811063766,0.0,CWLD_water_off_aq0p5
0,1.0190865769084942,3.8490272463702073,-0.834,0.16614593379199505,0.0,CWLD_water_off_aq0p5
0,0.9427431024723283,2.9413185307208134,-0.834,0.20636999572161585,0.0,CWLD_water_off_aq0p5
0,0.47251697399032827,2.910169182124335,-0.834,0.2989004567498341,0.0,CWLD_water_off_aq0p5
0,1.3749641347875403,3.915437050128062,-0.834,0.291906394995749,0.0,CWLD_water_off_aq0p5
0,1.5339968224394873,3.4489928853964313,-0.834,0.21978938768734224,0.0,CWLD_water_off_aq0p5
0,0.49178411935355426,1.33607533640206,-0.834,0.26414650306105614,0.0,CWLD_water_off_aq0p5
0,1.1698453500138837,3.5063110442332635,-0.834,0.22275155095849186,0.0,CWLD_water_off_aq0p5
0,1.2603454287181401,3.375565755781522,-0.834,0.263562771724537,0.0,CWLD_water_off_aq0p5
0,0.6006314862973743,3.156009247838336,-0.834,0.2931047117454,0.0,CWLD_water_off_aq0p5
0,1.084257047959543,3.609454128844424,-0.834,0.17658436321653426,0.0,CWLD_water_off_aq0p5
0,0.8897708727999654,3.3555221687423984,-0.834,0.35148412734270096,0.0,CWLD_water_off_aq0p5
0,1.097166024166273,3.8903929313811663,-0.834,0.26639322377741337,0.0,CWLD_water_off_aq0p5
0,0.916924809602399,2.3286157743418077,-0.834,0.21180083556100726,0.0,CWLD_water_off_aq0p5
0,0.514832299150632,1.3935104089561685,-0.834,0.3475185026181862,0.0,CWLD_water_off_aq0p5
0,0.32828568047178863,1.9318272411190234,-0.834,0.17155671749547868,0.0,CWLD_water_off_aq0p5
