Time (ps),Density (g/ml),Protein RMSD (nm),Protein Dipole (Debye),Ca-Total Protein O CN (0.3nm),Ca-Carboxylate O CN
0.0,1.0188644848145127,0.0,,26,20
1.0000000029814058,1.0197722360917547,0.05197227,,26,20
2.0000000059628116,1.0211436461844736,0.058172494,,24,18
3.0000000089442174,1.019871238005781,0.061506845,,25,19
4.000000011925623,1.0219392850719884,0.06320105,,24,18
5.0000000149070285,1.0200448505453283,0.06545522,,25,19
6.000000017888435,1.0214830668453834,0.0692604,,25,19
7.000000020869841,1.0203840470887409,0.07443745,,25,19
8.000000023851246,1.0202605421719213,0.077498645,,25,19
9.000000026832652,1.0204849680304795,0.08190866,,25,19
10.000000029814057,1.0200296151902153,0.07719518,,25,19
11.000000032795464,1.021610454179954,0.08638943,,25,19
12.00000003577687,1.0212730819037306,0.089419685,,25,19
13.000000038758275,1.023506656799633,0.08910224,,24,18
14.000000041739682,1.0255054351691515,0.0872454,,24,18
15.000000044721087,1.0225507220089523,0.09184356,,24,18
16.000000047702493,1.0192648227372263,0.0916922,,25,19
17.000000050683898,1.0226627355034223,0.09366931,,25,19
18.000000053665303,1.0188518956730437,0.093693316,,25,19
19.00000005664671,1.0205606674708267,0.09425408,,25,19
20.000000059628114,1.0205412162054617,0.096135005,,24,18
21.000000062609523,1.0185314669528318,0.095772676,,23,17
22.00000006559093,1.0169776440719953,0.098408766,,25,19
23.000000068572334,1.0193876420535262,0.101071835,,25,19
24.00000007155374,1.0217341770292008,0.10489957,,25,19
25.000000074535144,1.0217770898319851,0.10920775,,24,18
26.00000007751655,1.0216436204733035,0.10514091,,24,18
27.000000080497955,1.0196530306337952,0.106085956,,25,19
28.000000083479364,1.0197430894289117,0.10576842,,24,18
29.00000008646077,1.0200937107998227,0.104037024,,24,18
30.000000089442175,1.0196136496539399,0.109705225,,24,18
31.00000009242358,1.0200687549036163,0.11234899,,24,18
32.000000095404985,1.0202153496096484,0.11099912,,25,19
33.000000098386394,1.020064814573366,0.11238329,,24,18
34.000000101367796,1.0206418949882423,0.11168027,,24,18
35.000000104349205,1.019324130456339,0.10350418,,23,17
36.00000010733061,1.0194648078697532,0.10436116,,23,17
37.000000110312016,1.0207460049918133,0.112197295,,24,18
38.00000011329342,1.0215464946681991,0.112002075,,24,18
39.000000116274826,1.0218816175719807,0.11306693,,23,17
40.00000011925623,1.0209879313837416,0.11902545,,25,19
41.00000012223764,1.0219724656000475,0.11981942,,24,18
42.000000125219046,1.0222656226584033,0.11588112,,24,18
43.00000012820045,1.022821954595349,0.117871925,,23,17
44.00000013118186,1.0204636789117942,0.123421595,,24,18
45.00000013416326,1.021296498425184,0.11903946,,24,18
46.00000013714467,1.0217712977796696,0.12271806,,24,18
47.00000014012607,1.0210226488330043,0.115647376,,23,17
48.00000014310748,1.0199508164724111,0.11603826,,24,18
49.00000014608889,1.0222988173147487,0.11773825,,24,18
50.00000014907029,1.0265024053710983,0.12193046,,24,18
51.0000001520517,1.0236037672732554,0.121296726,,24,18
52.0000001550331,1.0215220177492192,0.1293469,,24,18
53.00000015801451,1.024410152874482,0.11997739,,24,18
54.00000016099591,1.0242289460215963,0.124859154,,24,18
55.00000016397732,1.0228177364448983,0.12569918,,25,19
56.00000016695873,1.0205254452720938,0.12759003,,24,18
57.00000016994013,1.0222964462202055,0.12694767,,22,15
58.00000017292154,1.0247341071659242,0.12049538,,24,18
59.00000017590294,1.0217404953278275,0.12725827,,24,18
60.00000017888435,1.0237497199736436,0.12356279,,25,19
61.00000018186575,1.0207310185886458,0.12601405,,21,14
62.00000018484716,1.021945341727879,0.12827961,,24,18
63.00000018782856,1.0177215549169683,0.12709008,,21,14
64.00000019080997,1.019304185754133,0.12861536,,20,14
65.00000019379138,1.0199368962092186,0.13121231,,21,14
66.00000019677279,1.0203243943529572,0.12488755,,25,19
67.00000019975418,1.0160972492663283,0.12556088,,25,19
68.00000020273559,1.018681438134518,0.12990907,,25,19
69.000000205717,1.0164344351343138,0.13171628,,25,19
70.00000020869841,1.0182224408924618,0.13052286,,25,19
71.0000002116798,1.0188293406465936,0.136576,,25,19
72.00000021466121,1.0175683683080219,0.12817875,,25,19
73.00000021764262,1.0178417690149895,0.13873282,,25,19
74.00000022062403,1.0222089843011404,0.13300678,,25,19
75.00000022360544,1.0185388075142097,0.121182516,,24,18
76.00000022658683,1.0180102053549307,0.128295,,25,19
77.00000022956824,1.0185118050823658,0.1316222,,25,19
78.00000023254965,1.0195593072319853,0.1306538,,25,19
79.00000023553106,1.0197241840793536,0.123228095,,20,14
80.00000023851246,1.0200795252431811,0.12505193,,25,19
81.00000024149386,1.0179688131991895,0.13273661,,21,14
82.00000024447527,1.0176568723762864,0.13376452,,25,19
83.00000024745668,1.0175476839255901,0.14050761,,21,15
84.00000025043809,1.0196215256876722,0.14399455,,20,14
85.00000025341949,1.0168847715993847,0.14360209,,24,18
86.0000002564009,1.0165761499859052,0.13643512,,18,13
87.0000002593823,1.0203538259586333,0.14515959,,20,14
88.00000026236371,1.0166833687596721,0.14163713,,25,19
89.00000026534512,1.0178161007988218,0.14223698,,24,18
90.00000026832652,1.0206676582666956,0.14722128,,25,19
91.00000027130793,1.0225538845184832,0.15381809,,25,19
92.00000027428933,1.019180330306049,0.1523276,,20,14
93.00000027727074,1.0212004689285943,0.15502305,,21,14
94.00000028025214,1.0182808815267854,0.15684727,,25,19
95.00000028323355,1.0214806982732123,0.14831331,,25,19
96.00000028621496,1.0219735189736683,0.15801169,,20,13
97.00000028919636,1.019010324153074,0.16162466,,25,19
98.00000029217777,1.0175343310144538,0.15404448,,25,19
99.00000029515917,1.0215857120072134,0.15225267,,25,19
