#"Step","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
5000,297.03135878737874,333.02333843562724,0.9636071564315247,0
10000,299.99387302582534,333.02333843562724,0.9636071564315247,59
15000,302.9428528440379,333.02333843562724,0.9636071564315247,57.3
20000,302.28209271138917,333.02333843562724,0.9636071564315247,55.7
25000,300.9467310448175,333.02333843562724,0.9636071564315247,54.3
30000,300.5869187403782,324.3815740004874,0.989278361954079,50.3
35000,298.23414429162165,320.52255851874116,1.0011890384823712,49.2
40000,302.70711755439896,316.45571930944215,1.0140555300297687,48.1
45000,298.5896324246305,314.9228482007207,1.0189913942692255,47.1
50000,303.23477647655494,312.80104845071594,1.025903441707449,46.2
55000,300.19783861851346,312.80104845071594,1.025903441707449,44.7
60000,296.6117242347557,312.80104845071594,1.025903441707449,44.1
65000,301.2259331784582,312.80104845071594,1.025903441707449,43.6
70000,299.6309399768265,312.80104845071594,1.025903441707449,43.1
75000,302.22991724168503,312.80104845071594,1.025903441707449,42.6
80000,300.8399709162983,312.80104845071594,1.025903441707449,42.1
85000,303.884677212729,312.80104845071594,1.025903441707449,41.7
90000,301.041520951993,312.80104845071594,1.025903441707449,41.3
95000,300.7913319406287,312.80104845071594,1.025903441707449,40.9
100000,299.25711149241016,312.80104845071594,1.025903441707449,40.5
105000,299.21929374021306,312.80104845071594,1.025903441707449,40.2
110000,298.4939141814627,312.80104845071594,1.025903441707449,39.8
115000,300.91979059897966,312.80104845071594,1.025903441707449,39.5
120000,297.02290755132975,312.80104845071594,1.025903441707449,39.2
125000,299.0466138878506,312.80104845071594,1.025903441707449,39
130000,302.8960298685725,312.80104845071594,1.025903441707449,38.7
135000,303.395158076542,312.80104845071594,1.025903441707449,38.5
140000,299.64563651784283,312.80104845071594,1.025903441707449,38.2
145000,302.00438670649015,312.80104845071594,1.025903441707449,38
150000,298.839453570023,312.80104845071594,1.025903441707449,37.8
155000,299.84146800067197,312.80104845071594,1.025903441707449,37.6
160000,300.39171920582487,312.80104845071594,1.025903441707449,37.4
165000,299.8638458749191,312.80104845071594,1.025903441707449,37.3
170000,300.58792668220065,312.80104845071594,1.025903441707449,37.1
175000,301.7442502514156,312.80104845071594,1.025903441707449,36.9
180000,300.9559333459066,312.80104845071594,1.025903441707449,36.8
185000,301.1439638551394,312.80104845071594,1.025903441707449,36.6
190000,298.41112089785645,312.80104845071594,1.025903441707449,36.5
195000,304.19923180394295,312.80104845071594,1.025903441707449,36.3
200000,298.47444448521725,312.80104845071594,1.025903441707449,36.2
205000,300.84248261545883,312.80104845071594,1.025903441707449,36.1
210000,301.6982331682536,312.80104845071594,1.025903441707449,36
215000,300.050389881386,312.80104845071594,1.025903441707449,35.8
220000,301.01252999885816,312.80104845071594,1.025903441707449,35.7
225000,298.4908260738083,312.80104845071594,1.025903441707449,35.6
230000,301.6704010623245,312.80104845071594,1.025903441707449,35.5
235000,300.7855130627615,312.80104845071594,1.025903441707449,35.4
240000,298.80563483812637,312.80104845071594,1.025903441707449,35.3
245000,299.86380459005693,312.80104845071594,1.025903441707449,35.2
250000,303.0080373086988,312.80104845071594,1.025903441707449,35.1
255000,298.82039308613963,312.80104845071594,1.025903441707449,35.1
260000,302.3151522634814,312.80104845071594,1.025903441707449,35
265000,300.40450596062135,312.80104845071594,1.025903441707449,34.9
270000,301.2974442987094,312.80104845071594,1.025903441707449,34.8
275000,299.93269360619803,312.80104845071594,1.025903441707449,34.7
280000,303.4303253642842,312.80104845071594,1.025903441707449,34.7
285000,298.38549692342156,312.80104845071594,1.025903441707449,34.6
290000,300.66004757594794,312.80104845071594,1.025903441707449,34.5
295000,298.6580069050658,312.80104845071594,1.025903441707449,34.5
300000,298.0292913811651,312.80104845071594,1.025903441707449,34.4
