,mean_rmsd_nm,mean_protein_rmsf_nm,ca_water_peak_r_nm,ca_water_peak_g,surface_water_tau_ps,surface_water_t_1e_ps,avg_surface_waters,salt_bridge_peak_g,salt_bridge_peak_r_nm,protein_dipole_mean_debye,protein_dipole_std_debye,a_q2,include_baseline_ips
PME,0.2100551277399063,0.10831482708454132,0.245,1.4848817128972647,116.73730756493444,60.0,486.15,34.54410600085587,0.28500000000000003,341.5532006751199,35.838562725477004,,0.0
Full_CWLD_aq0p5,0.1965278834104538,0.10086037218570709,0.245,1.5792614681352466,131.43621278889415,70.0,487.8833333333333,37.35781872096842,0.275,429.7425280889608,33.17032668640571,0.5,1.0
Pure_Density_aq0,0.21765072643756866,0.11319529265165329,0.245,1.3141599229703835,121.65688546962144,70.0,499.46666666666664,29.67699397430244,0.275,392.061757869182,38.44392837480795,0.0,1.0
