,Density (g/cm³),Isothermal Comp. (10^-5 bar^-1),Coordination Number,Avg H-Bonds per Water,Diffusion Coeff (10^-5 cm²/s)
PME,0.984143737659545,5.628529416186139,5.146173046283179,0.0,0.47024037281860487
CWLD_LIPS,0.9835644344183937,5.580073671094287,5.142990909242142,0.0,0.48841103497317434
